name,type,wattage
be quiet! Dark Power Pro 12,ATX,1200
be quiet! Dark Power Pro 12,ATX,1500
be quiet! Dark Power Pro P11 modular,ATX,650
be quiet! Dark Power Pro P11 modular,ATX,550
be quiet! Power Zone,ATX,1000
be quiet! Power Zone,ATX,850
"be quiet! Power Zone, 80 PLUS Bronze",ATX,650
"be quiet! Power Zone, 80 PLUS Bronze",ATX,750
be quiet! Pure Power 10,ATX,700
be quiet! Pure Power 10,ATX,600
be quiet! Pure Power 10,ATX,400
be quiet! Pure Power 10,ATX,350
be quiet! Pure Power 10,ATX,300
be quiet! Pure Power 10,ATX,500
be quiet! Pure Power 10 CM,ATX,700
be quiet! Pure Power 10 CM,ATX,600
be quiet! Pure Power 10 CM,ATX,400
be quiet! Pure Power 10 CM,ATX,500
be quiet! Pure Power 11 FM,ATX,1000
be quiet! Pure Power 11 FM,ATX,850
be quiet! Pure Power 11 FM,ATX,650
be quiet! Pure Power 11 FM,ATX,550
be quiet! Pure Power 11 FM,ATX,750
be quiet! Pure Power 12M,ATX,1000
be quiet! SFX Power 2 80 PLUS Bronze,SFX,300
be quiet! SFX Power 2 80 PLUS Bronze,SFX,400
be quiet! SFX Power 3,SFX,300
be quiet! SFX Power 3,SFX,450
be quiet! SFX-L Power,SFX-L,600
be quiet! SFX-L Power,SFX-L,500
be quiet! SFX-L Power 80 PLUS Gold,SFX-L,500
be quiet! SFX-L Power 80 PLUS Gold,SFX-L,600
be quiet! Straight Power 10,ATX,700
be quiet! Straight Power 10,ATX,600
be quiet! Straight Power 10,ATX,500
be quiet! Straight Power 10,ATX,400
be quiet! Straight Power 10 CM,ATX,600
be quiet! Straight Power 10 CM,ATX,700
be quiet! Straight Power 10 CM,ATX,800
be quiet! Straight Power 10 CM,ATX,500
be quiet! Straight Power 11,ATX,850
be quiet! Straight Power 11,ATX,1200
be quiet! Straight Power 11,ATX,1000
be quiet! Straight Power 11,ATX,750
be quiet! Straight Power 11,ATX,650
be quiet! Straight Power 11,ATX,550
"be quiet! Straight Power 11, 80 PLUS Gold",ATX,450
"be quiet! Straight Power 11, 80 PLUS Gold",ATX,650
"be quiet! Straight Power 11, 80 PLUS Gold",ATX,550
"be quiet! Straight Power 11, 80 PLUS Gold",ATX,750
be quiet! System Power 10 80 Plus Bronze,ATX,450
be quiet! System Power 8,ATX,600
be quiet! System Power 8,ATX,400
be quiet! System Power 8,ATX,500
be quiet! System Power 9 80 PLUS Bronze,ATX,400
be quiet! System Power 9 80 PLUS Bronze,ATX,500
be quiet! System Power 9 80 PLUS Bronze,ATX,600
be quiet! System Power 9 80 PLUS Bronze,ATX,700
be quiet! System Power 9 CM,ATX,600
be quiet! System Power 9 CM,ATX,700
be quiet! System Power 9 CM,ATX,500
be quiet! System Power 9 CM,ATX,400
be quiet! System Power B8,ATX,300
be quiet! System Power B8,ATX,550
be quiet! System Power B8,ATX,450
be quiet! System Power B8,ATX,350
be quiet! System Power B9 80 PLUS Bronze,ATX,300
be quiet! System Power B9 80 PLUS Bronze,ATX,350
be quiet! System Power B9 80 PLUS Bronze,ATX,450
be quiet! System Power B9 80 PLUS Bronze,ATX,600
be quiet! TFX Power 2 80 PLUS Bronze,TFX,300
be quiet! TFX Power 2 80 PLUS Gold,TFX,300
be quiet! TFX Power 3,TFX,300
be quiet! TFX Power 3,TFX,300
BitFenix Formula 80 PLUS Gold,ATX,750
BitFenix Whisper M 80 PLUS Gold,ATX,750
Chieftec A-90 Serie GDP-550C 90 Plus Gold,ATX,550
Chieftec A-90 Serie GDP-650C 90 Plus Gold,ATX,650
Chieftec A-90 Serie GDP-750C 90 Plus Gold,ATX,750
Chieftec CDP-085ITX 85 Watt AC-DC Adapter inkl. Wandlerplatine,,85
Chieftec CDP-120ITX 120 Watt AC-DC Adapter inkl. Wandlerplatine,external,120
Chieftec CSN-550C SFX,SFX,550
Chieftec CSN-650C SFX,SFX,650
Chieftec Force CPS-400S,ATX,400
Chieftec Force CPS-500S,ATX,500
