name,supported_socket,type
Akasa Nero LX 2  - 120 mm,"1150, 1151, 1155, 1156, 1366, 775, AM2, AM3, AM3+, FM1, FM2, FM2+",Air
Akasa SOHO 240 Dusk Edition  - 240 mm,"2066, 2011-V3, 2011, 1700, 1200, 1150, 1152, 1151, 1155, 1156, AM4",AIO
Akasa SOHO 360 Dusk Edition  - 360 mm,"2066, 2011-V3, 2011, 1700, 1200, 1150, 1152, 1151, 1155, 1156, AM4",AIO
Akasa Soho H4 Processor Kühler,"1200, 1150, 1151, 1155, 1156, 2011, 2066, AM4",Air
Akasa SOHO H4 plus Processor Kühler,"2066, 2011-V3, 2011, 1700, 1200, 1150, 1152, 1151, 1155, 1156, AM4",Air
Akasa Sunflower Mini-Top-Flow- - 120mm,"AM4, AM3+",Air
Akasa Vegas Chroma AM,"AM4, AM3+",Air
Akasa Vegas Chroma LG,"1150, 1151, 1155, 1156",Air
Akasa Venom A10,"1150, 1151, 1155, 1156, 1366, 2011, 775, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",AIO
Akasa Venom A20,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 775, AM2, AM3, AM3+, AM4, FM1, FM2",AIO
Alpenföhn Atlas  - 2x92mm,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775, AM2, AM3, AM3+, FM1, FM2, FM2+",Air
Alpenföhn Ben Nevis  - 120mm,"1150, 1151, 1155, 1156, 2011, 2011-V3, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+, AM5, 1700",Air
Alpenföhn Ben Nevis Advanced  - 130mm,"1150, 1151, 1155, 1156, 2011, 2011-V3, 2066, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+, AM5, 1700",Air
Alpenföhn Ben Nevis Advanced RGB Black Edition - 130mm,"1150, 1151, 1155, 1156, 2011, 2011-V3, 2066, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",Air
Alpenföhn Black Ridge  - 120mm,"1150, 1151, 1155, 1156, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",Air
Alpenföhn Brocken 2  - 140 mm,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 775, AM2, AM3, AM3+, FM1",Air
Alpenföhn Brocken 2 PCGH Edition  - 140 mm,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775, AM2, AM3, AM3+, FM1, FM2, FM2+",Air
Alpenföhn Brocken 3  - 140mm,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775, AM3, AM3+, AM4, FM1, AM5",Air
Alpenföhn Brocken 3 Black Edition  - 2x140mm,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 775, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+, AM5",Air
Alpenföhn Brocken 3 White Edition  - 2x140mm,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 775, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",Air
Alpenföhn Brocken 4 - 120mm,"1154, 2066, 2011-V3, 2011, 1700, 1200, 1150, 1152, 1151, 1155, 1156, AM5, AM4",Air
Alpenföhn Brocken 4 Max - 2x 120mm,"1154, 2066, 2011-V3, 2011, 1700, 1200, 1150, 1152, 1151, 1155, 1156, AM5, AM4",Air
Alpenföhn Brocken ECO  - 120 mm,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM2, AM3, AM3+, FM1, FM2, FM2+",Air
Alpenföhn Brocken ECO Advanced - 120mm,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",Air
Alpenföhn Dolomit - 92mm,"1200, 1150, 1151, 1155, 1156, 2011-V3, 2011, 2066, AM4, AM5",Air
Alpenföhn Dolomit Advanced - 120mm,"1200, 1150, 1151, 1155, 1156, 2011-V3, 2011, 2066, AM4, AM5",Air
Alpenföhn Dolomit Premium - 120mm,"1200, 1150, 1151, 1155, 1156, 2011-V3, 2011, 2066, AM4, AM5",Air
"Alpenföhn Gletscherwasser 240 , ARGB - white","1200, 1150, 1151, 1155, 1156, 1366, 2011, 2066, AM4, AM3+, AM2+, FM1, sTRX4, TR4, AM5, 1700",AIO
"Alpenföhn Gletscherwasser 280 , ARGB , black","1200, 1150, 1151, 1155, 1156, 1366, 2011, 2066, AM2, AM3, AM3+, AM4, FM1, TR4, sTRX4, AM5, 1700",AIO
"Alpenföhn Gletscherwasser 280 , ARGB - white","1200, 1150, 1151, 1155, 1156, 1366, 2011, 2066, AM4, AM3+, AM2+, FM1, sTR4, TR4, AM5, 1700",AIO
"Alpenföhn Gletscherwasser 360 , ARGB - white","1200, 1150, 1151, 1155, 1156, 1366, 2011, 2066, AM4, AM3+, AM2+, FM1, sTRX4, TR4, AM5, 1700",AIO
Alpenföhn Matterhorn Black Edition  Rev. C - 120mm,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775, AM2, AM3, AM3+, FM1, FM2, FM2+",Air
Alpenföhn Matterhorn Pure Edition  - 120 mm,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM2, AM3, AM3+, FM1, FM2, FM2+",Air
Alpenföhn Matterhorn Threadripper Edition,"TR4, sTRX4",Air
Alpenföhn Matterhorn White Edition  Rev. C - 120mm,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775, AM2, AM3, AM3+, FM1, FM2, FM2+",Air
Alpenföhn Olymp  - 2x140mm,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775, AM2, AM3, AM3+, FM1, FM2, FM2+",Air
Alpenföhn Panorama  - 100mm,"1150, 1151, 1155, 1156, 775, AM2, AM3, AM3+, FM1, FM2, FM2+",Air
Alpenföhn Sella  - 92mm,"1150, 1151, 1155, 1156, 775, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",Air
"Alpenföhn Super Silent SI 2, AMD  - 92mm","AM2, AM3, AM3+, FM1",Air
Alphacool Core Ocean T38 120mm Processor Digital,"2066, 1700, 1200, 1150, 1152, 1151, 1155, 1156, AM5, AM4",AIO
Alphacool Core Ocean T38 240mm Processor Digital,"2066, 1700, 1200, 1150, 1152, 1151, 1155, 1156, AM5, AM4",AIO
Alphacool Core Ocean T38 280mm Processor Digital,"2066, 1700, 1200, 1150, 1152, 1151, 1155, 1156, AM5, AM4",AIO
Alphacool Core Ocean T38 360mm Processor Digital,"2066, 1700, 1200, 1150, 1152, 1151, 1155, 1156, AM5, AM4",AIO
Alphacool Core Ocean T38 420mm Processor Digital,"2066, 1700, 1200, 1150, 1152, 1151, 1155, 1156, AM5, AM4",AIO
Alphacool Eisbaer Aurora LT240 Processor Digital RGB,"1056, sWRX , 1700, 1200, 1150, 1151, 1155, 2011-V3, 2011, 2066, 775, AM4, AM3+, AM3, AM2+, AM2, FM2+, FM2, FM1, SP3, sTRX4, TR4, AM5",AIO
Alphacool Eisbaer Aurora LT360 Processor Digital RGB,"sWRX , 1700, 1200, 1150, 1151, 1155, 1156, 2011-V3, 2011, 2066, 775, AM4, AM3+, AM3, AM2+, AM2, FM2+, FM2, FM1, SP3, sTRX4, TR4, AM5",AIO
Alphacool Eisbaer Aurora Pro HPE Edition Digital RGB Komplett Wasserkühlung - 360 mm,"4189, 3647, 2066, 2011-V3, 2011, 1700, 1200, 1150, 1152, 1151, 1155, 1156, AM5, AM4, SP3, sWRX8, sTRX4, TR4",AIO
