name,supported_socket,type
Dynatron R27 80mm 2 Ball,2011,Air
Dynatron R5 60mm 2 Ball Bearing  for Intel Sandy Bridge EP/EX Processors,2011,Air
Dynatron R8,2011,Air
Dynatron R9 77mm 2 Ball,2011,Air
Dynatron T450 80mm 2 Ball,"1151 ,  1150 , 1155 , 1156",Air
EK Water Blocks EK-Nucleus AIO CR360 Direct Die D-RGB - 1700,1700,AIO
Enermax Aquafusion,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",AIO
Enermax Aquafusion,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",AIO
ENERMAX ETD-T60-TB 120mm Twister,"AM2,AM2+,AM3,AM3+, 775,1155,1156,1366,1150",Air
ENERMAX ETS-N30R-HE 92mm,"775 , 1150 , 1151 , 1155 , 1156 , 1366 , 2011 , 2011-V3, AM2 , AM2+ , AM3 , AM3+ , FM1 , FM2 , FM2+",Air
ENERMAX ETS-N30R-TAA 92mm,"775 , 1150 , 1151 , 1155 , 1156 , 1366 , 2011 , 2011-V3, AM2 , AM2+ , AM3 , AM3+ , FM1 , FM2 , FM2+",Air
Enermax ETS-T40F,"775,1150,1151,1155,1156,1366,2011,2011-V3, AM2,AM2+,AM3,AM3+,FM1,FM2,FM2+",Air
ENERMAX ETS-T40F-BK 120mm Twister Aluminum 120mm Black  with blue LED PWM Fan,"775 , 1150 , 1151 , 1155 , 1156 , 1366 , 2011 , 2011-V3, AM2 , AM2+ , AM3 , AM3+ , FM1 , FM2 , FM2+",Air
ENERMAX ETS-T40F-RF 140mm Twister Aluminum 120mm Black  with 140mm PWM Fan,"775,1150,1151,1155,1156,1366,2011,2011-V3, AM2,AM2+,AM3,AM3+,FM1,FM2,FM2+",Air
ENERMAX ETS-T40F-TB 120mm Twister Aluminum 120mm  with PWM Fan Low 8 dBA nosie w/ fan adaptor,"775,1150,1151,1155,1156,1366,2011,2011-V3, AM2,AM2+,AM3,AM3+,FM1,FM2,FM2+",Air
ENERMAX ETS-T40F-W 120mm Twister Aluminum 120mm White  with Dual White LED PWM Fans,"775 , 1150 , 1151 , 1155 , 1156 , 1366 , 2011 , 2011-V3, AM2 , AM2+ , AM3 , AM3+ , FM1 , FM2 , FM2+",Air
ENERMAX ETS-T50A-BVT Twister Aluminum 120mm  with DFR (Dust Free Rotation) Vegas Fan with 3 color LED,"775 , 1150, 1151, 1155, 1156, 1366 , 2011 , 2011-V3, AM2 , AM2+ , AM3 , AM3+ , FM1 , FM2 , FM2+",Air
ENERMAX ETS-T50A-WVS Twister Aluminum 120mm White  with DFR (Dust Free Rotation) White LED Fan,"775 , 1150, 1151, 1155, 1156, 1366 , 2011 , 2011-V3, AM2 , AM2+ , AM3 , AM3+ , FM1 , FM2 , FM2+",Air
Enermax LiqFusion 240 RGB  - 240 mm,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",AIO
Enermax Liqmax III ARGB 360,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",AIO
Enermax LiqTech II RGB 240,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",AIO
Enermax LiqTech II RGB 280,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",AIO
Enermax LiqTech II RGB 360,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",AIO
Enermax LiqTech II RGB 360 White,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",AIO
Enermax LiqTech TR4 II RGB 360,"TR4, sTRX4",AIO
EVERCOOL HPH-9525CU 95mm Ever Lubricate,775,Air
EVERCOOL HPL-815EP Ever Lubricate,"K8 , AM2 , AM2+ , AM3 ,  775 ,  1150 ,   1156 ,  1366",Air
EVERCOOL HPM-12025 120mm Ever Lubricate Transformer 3,775,Air
EVERCOOL HPO-12025 120mm x 2 (SSF-12 & Silent Fan) Ever Lubricate,"AM2, AM2+, AM3, FM1, 775, 1156, 1155, 1366, 2011, 1150",Air
EVERCOOL K8-FM1 Retention Holder compatible for AMD k8 socket/AM2/AM3/FM1,"K8,AM2,AM3,FM1",Air
EVERCOOL K8-RM AMD K8 Retention Holder,K8,Air
EVERCOOL TTC-NK35TZ/RPW/V5(KU) 95mm Z-AXIS Titan Universal,"K8,AM2,AM2+,AM3,AM3+,FM1,FM2,775,1150,1155,1156,1366,2011",Air
"EVGA ACX , black - 120 mm","1150, 1151, 1155, 1156, 1366, 2011, 775, AM2, AM2+, AM3, AM3+, FM1, FM2",Air
EVGA CLC 120 RGB,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+, TR4, sTRX4",AIO
EVGA CLC 240 RGB,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+, TR4, sTRX4",AIO
EVGA CLC 280 RGB,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+, TR4, sTRX4",AIO
Fractal Design Celsius S24  - 240 mm,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM2, AM3, AM3+, AM4",AIO
Fractal Design Celsius S36  - 360 mm,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",AIO
GELID Solutions CC-Shero-01-A 120mm Hydro,"775, 1155, 1156, 1366, 1150,  AM2, AM2+, AM3, FM1, FM2",Air
Gelid Solutions Liquid 240mm AIO -,AM5,AIO
Gigabyte Aorus ATC700  - 2x 120mm,"1150, 1151, 1155, 1156, 1366, 2011, 2066, 775, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",Air
"Gigabyte Aorus ATC800 , RGB - 2x 120mm","1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",Air
"Gigabyte Aorus Waterforce 240 , D-RGB - black - 240 mm","1700, 1200, 1150, 1151, 1155, 1156, 1366, 2011-V3, 2066, AM4, sTRX4, TR4",AIO
"Gigabyte Aorus Waterforce 280 , D-RGB - black - 280 mm","1700, 1200, 1150, 1151, 1155, 1156, 1366, 2011-V3, 2066, AM4, sTRX4, TR4",AIO
"Gigabyte Aorus Waterforce 360 , D-RGB - black - 360 mm","1700, 1200, 1150, 1151, 1155, 1156, 1366, 2011-V3, 2066",AIO
"Hyper 212 LED with PWM Fan, Four Direct Contact Heatpipes, Unique Fan Blade Design, Red LEDs, Optimized Bracket Design by Cooler Master","2011-V3 , 2011 , 1151 , 1150 , 1155 , 1156 , 775, AM3+ , AM3 , AM2+ , FM2+ , FM2 , FM1",Air
Hyte THICC Q60 AIO  - white,"2066, 2011, 1700, 1200, 1156, 1155, 1154, 1152, 1151, 1150, AM5, AM4, TR4",AIO
IceGiant ProSiphon Elite - 240mm,"1200, 1150, 1151, 1155, 1156, 1366, 2011-V3, 2011, 2066, AM4, sTRX4, TR4, AM5, 1700",Air
Intel Thermal Solution HTS1155LP - socket 1155,"1150, 1151, 1155",Air
Intel Thermal Solution TS13X,"1150, 1155, 1156, 1366, 2011",AIO
"InWin MR24 ARGB  , black","2066, 2011-V3, 2011, 1700, 1200, 1156, 1155, 1151, 1150, AM5, AM4, AM3+, AM3, AM2+, AM2, FM2+, FM2, FM1",AIO
"InWin MR36 ARGB  , black","2066, 2011-V3, 2011, 1700, 1200, 1156, 1155, 1151, 1150, AM5, AM4, AM3+, AM3, AM2+, AM2, FM2+, FM2, FM1",AIO
"InWin NR24 ARGB  , black","2066, 2011-V3, 2011, 1700, 1366, 1200, 1156, 1155, 1151, 1150, AM5, AM4, AM3+, AM3, AM2+, AM2, FM2+, FM2, FM1, TR4",AIO
"InWin NR36 ARGB  , black","2066, 2011-V3, 2011, 1700, 1366, 1200, 1156, 1155, 1151, 1150, AM5, AM4, AM3+, AM3, AM2+, AM2, FM2+, FM2, FM1, TR4",AIO
Jonsbo CR-1000,"1150, 1151, 1155, 1156, 775, AM4, AM3+, AM3, AM2, FM2+, FM2, FM1, AM5",Air
Jonsbo CR-1000,"1154, 1700, 1200, 1150, 1152, 1151, 1155, 1156, AM5, AM4",Air
Jonsbo CR-1000,"1154, 1700, 1200, 1150, 1152, 1151, 1155, 1156, AM5, AM4",Air
Jonsbo CR-1000 GT,"1150, 1151, 1155, 1156, 775, AM4, AM3+, AM3, AM2, FM2+, FM2, FM1, AM5",Air
Jonsbo CR-1000 V2 - white,"1700, 1200, 1156, 1155, 1154, 1152, 1151, 1150, AM5, AM4",Air
Jonsbo CR-1000 V2 ARGB - black,"1700, 1200, 1156, 1155, 1154, 1152, 1151, 1150, AM5, AM4",Air
Jonsbo CR-1000 V2 PRO ARGB - black,"1700, 1200, 1156, 1155, 1154, 1152, 1151, 1150, AM5, AM4",Air
Jonsbo CR-1000 V2 RGB - black,"1700, 1200, 1156, 1155, 1154, 1152, 1151, 1150, AM5, AM4",Air
Jonsbo CR-1000 V2 RGB - white,"1700, 1200, 1156, 1155, 1154, 1152, 1151, 1150, AM5, AM4",Air
Jonsbo CR-1100,"1150, 1151, 1155, 1156, 775, AM4, AM3+, AM3, AM2, FM2+, FM2, FM1",Air
Jonsbo CR-1200,"1150, 1151, 1155, 1156, 775, AM4, AM3+, AM3, AM2, FM2+, FM2, FM1, AM5",Air
Jonsbo CR-1200E,"1200, 1150, 1151, 1155, 1156, 775, AM4, AM3+, AM3, AM2+, AM2, FM2+, FM2, FM1, AM5",Air
Jonsbo CR-1300,"1200, 1150, 1151, 1155, 1156, 775, AM4, AM3+, AM3, AM2+, AM2, FM2+, FM2, FM1, AM5",Air
Jonsbo CR-1400,"1150, 1151, 1155, 1156, 775, AM4, AM3+, AM3, AM2, FM2+, FM2, FM1, AM5",Air
Jonsbo CR-2000 GT  Dual Tower,"1150, 1151, 1155, 1156, 775, AM4, AM3+, AM3, AM2, FM2+, FM2, FM1, AM5",Air
Jonsbo CR-201,"1150, 1151, 1155, 1156, 775, AM4, AM3+, AM3, AM2, FM2+, FM2, FM1",Air
Jonsbo CR-2100  Dual Tower,"1200, 1150, 1151, 1155, 1156, 1366, 2011-V3, 775, AM4, AM3+, AM3, AM2+, AM2, FM2+, FM2, FM1, AM5",Air
Jonsbo CR-701,"1150, 1151, 1155, 1156, 775, AM4, AM3+, AM3, AM2, FM2+, FM2, FM1",Air
Jonsbo HP-400  - 90mm,"1150, 1151, 1155, 1156, 775, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",Air
Jonsbo HP-400  - 90mm,"1150, 1151, 1155, 1156, 775, AM4, AM3+, AM3, AM2, FM2+, FM2, FM1",Air
Jonsbo HP-400S - 90mm,"1700, 1200, 1150, 1151, 1155, 1156, AM4",Air
Jonsbo HX4170D,"1700, 1200, 1150, 1151, 1155, 1156, AM4",Air
Jonsbo HX4170D,"1700, 1200, 1150, 1151, 1155, 1156, AM4",Air
Jonsbo HX6200D - 120mm,"1700, 1200, 1150, 1151, 1155, 1156, AM4, AM3+, AM3, AM2+, AM2, FM2+, FM2, FM1",Air
Jonsbo HX6210 - 92mm,"1700, 1200, 1150, 1151, 1155, 1156, 2011, 2066, AM4",Air
Jonsbo HX6250 - 140mm,"1700, 1200, 1150, 1151, 1155, 1156, 2011, 2066, AM4, AM5, 1700",Air
Jonsbo HX7280 - 2x 140mm,"1700, 1200, 1150, 1151, 1155, 1156, 2011, 2066, AM5, AM4",Air
Jonsbo MX400,"1200, 1150, 1151, 1155, 1156, AM4, AM3+, AM3, AM2, FM2+, FM2, FM1",Air
Jonsbo PISA A5 ARGB 5V(3Pin) + PWM - grey,"1700, 1200, 1156, 1155, 1154, 1152, 1151, 1150, AM5, AM4",Air
Jonsbo PISA A5 ARGB 5V(3Pin) + PWM - white,"1700, 1200, 1156, 1155, 1154, 1152, 1151, 1150, AM5, AM4",Air
Kolink Umbra EX180 ARGB - 120mm,"2066, 2011-V3, 2011, 1700, 1200, 1150, 1152, 1151, 1155, 1156, AM5, AM4",Air
Kolink Umbra EX180 ARGB White Processor Cooler - 120 mm,"2066, 2011-V3, 2011, 1700, 1200, 1156, 1155, 1154, 1152, 1151, 1150, AM5, AM4",Air
Kolink Umbra EX180 Black Edition - 120mm,"2066, 2011-V3, 2011, 1700, 1200, 1150, 1152, 1151, 1155, 1156, AM5, AM4",Air
Kolink Umbra EX180 White Edition Processor Cooler - 120 mm,"2066, 2011-V3, 2011, 1700, 1200, 1156, 1155, 1154, 1152, 1151, 1150, AM5, AM4",Air
"Lian Li GALAHAD 240 SL v2, , ARGB - black","1700, 1200, 1150, 1151, 1155, 1156, 1366, 2011, 2066, 775, AM4",AIO
"Lian Li GALAHAD 240 SL v2, , ARGB - white","1700, 1200, 1150, 1151, 1155, 1156, 1366, 2011, 2066, 775, AM4",AIO
"Lian Li GALAHAD 240 SL, , ARGB - black","1700, 1200, 1150, 1151, 1155, 1156, 1366, 2011, 2066, 775, AM4",AIO
"Lian Li GALAHAD 240 SL, , ARGB - white","1700, 1200, 1150, 1151, 1155, 1156, 1366, 2011, 2066, 775, AM4",AIO
"Lian Li GALAHAD 240 V2 , DRGB - black","1700, 1200, 1150, 1151, 1155, 1156, 1366, 2011, 2066, 775, AM4",AIO
"Lian Li GALAHAD 240 v2 , DRGB - white","1700, 1200, 1150, 1151, 1155, 1156, 1366, 2011, 2066, 775, AM4",AIO
"Lian Li GALAHAD 360 SL V2, , ARGB - black","1700, 1200, 1150, 1151, 1155, 1156, 1366, 2011, 2066, 775, AM4",AIO
"Lian Li GALAHAD 360 SL v2, , ARGB - white","1700, 1200, 1150, 1151, 1155, 1156, 1366, 2011, 2066, 775, AM4",AIO
"Lian Li GALAHAD 360 SL, , ARGB - black","1700, 1200, 1150, 1151, 1155, 1156, 1366, 2011, 2066, 775, AM4",AIO
"Lian Li GALAHAD 360 SL, , ARGB - white","1700, 1200, 1150, 1151, 1155, 1156, 1366, 2011, 2066, 775, AM4",AIO
"Lian Li GALAHAD 360 V2 , ARGB - black","1700, 1200, 1150, 1151, 1155, 1156, 1366, 2011, 2066, 775, AM4",AIO
"Lian Li GALAHAD 360 V2 , ARGB - white","1700, 1200, 1150, 1151, 1155, 1156, 1366, 2011, 2066, 775, AM4",AIO
MASSCOOL 8W2002B1M4 90mm Ball Bearing  for INTEL Socket LGA 1155/1156 Cooper base,"1150 , 1155 , 1156",Air
MASSCOOL 8WT15-38 90mm Long life Bearing,775,Air
MasterAir Pro 3 Processor Air Cooler with Continuous Direct Contact Technology 2.0 by Cooler Master,"2011-V3 , 2011 , 1151 , 1150 , 1155 , 1156 , 1366 , 775, AM3+ , AM2+ , AM2 , FM2+ , FM2 , FM1",Air
MasterAir Pro 4 Processor Air Cooler with Continuous Direct Contact Technology 2.0 by Cooler Master,"2011-V3 , 2011 , 1151 , 1150 , 1155 , 1156 , 1366 , 775, AM3+ , AM2+ , AM2 , FM2+ , FM2 , FM1",Air
Montech Metal DT24 Base,"1700, 1200, 1150, 1152, 1151, 1155, 1156, AM5, AM4",Air
Montech Metal DT24 Premium,"1700, 1200, 1150, 1152, 1151, 1155, 1156, AM5, AM4",Air
MSI Core Frozr L  - 120mm,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775, AM2, AM3, AM3+, AM4, FM1, FM2",Air
MSI Core Frozr XL  - 2x 120mm,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775, AM2, AM3, AM3+, AM4, FM1, FM2",Air
"MSI MAG CoreLiquid 240R V2 , ARGB","2066, 2011-V3, 2011, 1366, 1200, 1150, 1151, 1155, 1156, AM4, AM3+, AM2+, AM2, FM2+, FM2, FM1",AIO
"MSI MAG CoreLiquid 240R V2 White , ARGB","2066, 2011-V3, 2011, 1366, 1200, 1150, 1151, 1155, 1156, AM4, AM3+, AM2+, AM2, FM2+, FM2, FM1",AIO
"MSI MAG CoreLiquid 360R V2 , ARGB","2066, 2011-V3, 2011, 1700, 1366, 1200, 1150,1151,1155,1156, 1150, 1151, 1155, 1156, AM4, AM3+, AM2+, AM2, FM2+, FM2, FM1",AIO
MSI MAG Coreliquid 360R V2 White Kompett-Wasserkühlung,"2066, 2011-V3, 2011, 1700, 1366, 1200, 1156, 1155, 1154, 1152, 1151, 1150, AM5, AM4, AM3+, AM2+, AM2, FM2+, FM2, FM1",AIO
"MSI MAG CoreLiquid C240 , ARGB","2066, 2011-V3, 2011, 1700, 1366, 1200, 1150, 1151, 1155, 1156, AM5, AM4, AM3+, AM2+, AM2, FM2+, FM2, FM1",AIO
"MSI MAG CoreLiquid C280 , ARGB","2066, 2011-V3, 2011, 1700, 1366, 1200, 1150, 1151, 1155, 1156, AM5, AM4, AM3+, AM2+, AM2, FM2+, FM2, FM1",AIO
"MSI MAG CoreLiquid C360 , ARGB","2066, 2011-V3, 2011, 1366, 1200, 1150, 1151, 1155, 1156, AM4, AM3+, AM2+, AM2, FM2+, FM2, FM1",AIO
MSI MAG Coreliquid E240 Kompett-Wasserkühlung - 240 mm,"1700, 1200, 1156, 1155, 1151, 1150, AM5, AM4",AIO
MSI MAG Coreliquid E240 White Kompett-Wasserkühlung - 240 mm,"1700, 1200, 1156, 1155, 1151, 1150, AM5, AM4",AIO
MSI MAG Coreliquid E360 White Kompett-Wasserkühlung - 360 mm,"1700, 1200, 1156, 1155, 1151, 1150, AM5, AM4",AIO
MSI MAG Coreliquid M240 Kompett-Wasserkühlung - 240 mm,"2066, 2011-V3, 2011, 1700, 1200, 1156, 1155, 1151, 1150, AM5, AM4",AIO
MSI MAG Coreliquid M360 Kompett-Wasserkühlung - 360 mm,"2066, 2011-V3, 2011, 1700, 1200, 1156, 1155, 1151, 1150, AM5, AM4",AIO
MSI MAG CoreLiquid P240,"2066, 2011-V3, 2011, 1700, 1366, 1200, 1150, 1151, 1155, 1156, AM5, AM4, AM3+, AM2+, AM2, FM2+, FM2, FM1",AIO
MSI MAG CoreLiquid P360,"2066, 2011-V3, 2011, 1700, 1366, 1200, 1150,1151,1155,1156, 1150, 1151, 1155, 1156, AM5, AM4, AM3+, AM2+, AM2, FM2+, FM2, FM1",AIO
MSI MEG CoreLiquid S280,"2066, 2011-V3, 2011, 1700, 1366, 1200, 1150,1151,1155,1156, 1150, 1151, 1155, 1156, AM4, AM3+, AM3, AM2+, AM2, FM2+, FM2, FM1",AIO
MSI MEG CoreLiquid S360,"2066, 2011-V3, 2011, 1700, 1366, 1200, 1150, 1151, 1155, 1156, AM4, AM3+, AM2+, AM2, FM2+, FM2, FM1",AIO
"MSI MPG CoreLiquid K240 V2 , ARGB","2066, 2011-V3, 2011, 1366, 1200, 1150, 1151, 1155, 1156, AM4, AM3+, AM2+, AM2, FM2+, FM2, FM1",AIO
NH-C14S," AM4, 2011-V3, 1151, FM2, FM2+, AM3, AM3+, 1700, AM5",Air
NH-D15," AM4, 2011-V3, 1151, FM2, FM2+, AM3, AM3+, 1700, AM5",Air
NH-L9x65 SE-AM4," AM4, AM5",Air
NH-U12S," AM4, 2011-V3, 1151, FM2, FM2+, AM3, AM3+, 1700, AM5",Air
NH-U12S TR4-SP3,For socket,Air
NH-U9 TR4-SP3,For socket,Air
Noctua D9S DX-4189 4U - 92mm,4189,Air
Noctua NH-D12L - 120mm,"AM5, 1700, 1200, 1150, 1151, 1155, 1156, 2011, 2066, AM4, AM3+, AM2+, FM2+, FM1",Air
Noctua NH-D12L chromax.black - 120mm,"1851, 1700, 1200, 1156, 1155, 1151, 1150, AM5, AM4",Air
Noctua NH-D14  - 140/120mm,"1150, 1151, 1155, 1156, 1366, 775, AM2, AM3, AM3+, FM1, FM2, FM2+",Air
Noctua NH-D15 chromax.black  - 140/140mm,"1150, 1151, 1155, 1156, 2011, 2011-V3, 2066, AM1, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+, AM5",Air
Noctua NH-D15 SE-AM4  - 140/140mm,"AM4, 1700, AM5",Air
"Noctua NH-D15S 140mm SSO2 D-Type Premium , NF-A15 PWM Fans","2011, 1155,1156,, 1700",Air
Noctua NH-D15S chromax.black - 140mm,"1200, 1150, 1151, 1155, 1156, 1366, 2011-V3, 2011, 2066, AM4, AM3+, AM3, AM2, FM2+, FM2, FM1, AM5",Air
Noctua NH-D9 DX-3647 4U  - 92mm,3647,Air
Noctua NH-D9DX i4 3U  - 92mm,"1366, 2011, 2011-V3, 2066, 1700",Air
"Noctua NH-D9L 92mm SSO2 Low-profile Premium , NF-A9 PWM Fans","2011-0,  2011-V3,  1156,1155, 1150, AM2,AM2+,AM3, AM3+, FM1, FM2, 1700",Air
Noctua NH-L12  - 120mm,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 775, AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+",Air
Noctua NH-L12S Low Profile  - 120mm,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+, 1700, AM5",Air
Noctua NH-L9a  - 92mm,"AM2, AM3, AM3+, FM1, FM2, FM2+",Air
Noctua NH-L9a 92mm SSO2,"AM2 , AM2+ , AM3 , AM3+ , FM1 , FM2",Air
Noctua NH-L9a-AM4 chromax.black Low Profile  - 92mm,"AM4, AM5",Air
Noctua NH-L9a-AM4 Low Profile  - 92mm,AM4,Air
Noctua NH-L9a-AM5 chromax.black Low Profile - 92mm,AM5,Air
Noctua NH-L9a-AM5 Low Profile - 92mm,AM5,Air
Noctua NH-L9i  - 92mm,"1150, 1151, 1155, 1156",Air
Noctua NH-L9i 95mm SSO2,"1150, 1155, 1156",Air
Noctua NH-L9i chromax.black  - 92mm,"1150, 1151, 1155, 1156",Air
Noctua NH-L9i-17xx - 92mm,"1700, 1700",Air
Noctua NH-L9i-17xx chromax.black - 92mm,"1700, 1700",Air
Noctua NH-L9x65  - 92mm,"1150, 1151, 1155, 1156, 2011, 2011-V3, 2066, AM2, AM3, AM3+, FM1, FM2, FM2+",Air
"Noctua NH-L9x65 92 x 92 x 14mm, 92 x 92 x 25mm SSO2 Low-profile Quiet , NF-A9x14 PWM fan","1150,  1155,  1156,  AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, 1700",Air
Noctua NH-L9x65 SE-AM4  - 92mm,"AM4, AM5",Air
Noctua NH-P1 passiver,"1200, 1150, 1151, 1155, 1156, 2011-V3, 2011, 2066, AM4, AM3+, AM3, AM2+, AM2, FM2+, FM2, FM1, 1700, AM5",Air
Noctua NH-U12A  - 120mm,"1150, 1151, 1155, 1156, 2011, 2011-V3, 2066, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+, 1700, AM5",Air
Noctua NH-U12DXi4  - 120mm,"1366, 2011, 2011-V3, 2066",Air
Noctua NH-U12S chromax.black  - 120mm,"1150, 1151, 1155, 1156, 2011, 2011-V3, 2066, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+, AM5",Air
Noctua NH-U12S DX-3647  - 120mm,3647,Air
Noctua NH-U12S redux - 120mm,"1200, 1150, 1151, 1155, 1156, 2011-V3, 2011, 2066, AM4, AM3+, AM3, AM2+, AM2, FM2+, FM2, FM1, 1700, AM5",Air
Noctua NH-U12S SE-AM4  - 120mm,"AM4, AM5",Air
Noctua NH-U12S TR4-SP3  - 120mm,"TR4, sTRX4",Air
Noctua NH-U14S 140mm SSO2-Bearing (Self-stabilising oil-presure bearing),"1150, 1151, 1155, 1156, 2011, 2011-V3, 2066, AM2, AM3, AM3+, FM1, FM2, FM2+, 1700",Air
Noctua NH-U14S DX-3647  - 140mm,3647,Air
Noctua NH-U14S TR4-SP3  - 140mm,"TR4, sTRX4",Air
Noctua NH-U9 TR4-SP3  - 92mm,"TR4, sTRX4",Air
Noctua NH-U9B SE2  - 2x92mm,"1150, 1151, 1155, 1156, 1366, 775, AM2, AM3, AM3+, FM1, FM2, FM2+",Air
Noctua NH-U9DXi4  - 92mm,"1366, 2011, 2011-V3, 2066",Air
Noctua NH-U9S chromax.black - 92mm,"1200, 1150, 1151, 1155, 1156, 2011-V3, 2011, 2066, AM4, AM3+, AM3, AM2, FM2+, FM2, FM1, AM5",Air
Noctua U12A chromax.black - 120mm,"1150, 1151, 1155, 1156, 2011, 2066, AM4, AM3+, AM2+, FM2+, FM1, 1700, AM5",Air
Noctua U12S DX-4189 - 2x 120mm,4189,Air
Noctua U14S DX-4189 - 140mm,4189,Air
Noctua U9 DX-4189 - 92mm,4189,Air
NZXT KRAKEN M22,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",AIO
NZXT KRAKEN X42 V2,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",AIO
NZXT KRAKEN X52 V2,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",AIO
NZXT KRAKEN X53,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",AIO
NZXT KRAKEN X62 V2,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",AIO
NZXT KRAKEN X72,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+, TR4, sTRX4",AIO
"NZXT Kraken Z53 RGB  , black","2066, 2011-V3, 1366, 1200, 1150, 1151, 1155, 1156, AM4, sTRX4, TR4",AIO
"NZXT Kraken Z53 RGB  , white","2066, 2011-V3, 1366, 1200, 1150, 1151, 1155, 1156, AM4, sTRX4, TR4",AIO
NZXT KRAKEN Z73,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",AIO
"NZXT Kraken Z73 RGB  , black","2066, 2011-V3, 1366, 1200, 1150, 1151, 1155, 1156, AM4, sTRX4, TR4",AIO
"NZXT Kraken Z73 RGB  , white","2066, 2011-V3, 1366, 1200, 1150, 1151, 1155, 1156, AM4, sTRX4, TR4",AIO
"PH-TC12LS, Slim Low-Profile, 120mm PWM Processor cooler","2011,1150,1151,1155,1156,1366,775,FM1,FM2,AM3,AM2",Air
"PH-TC14S, Slim Twin Towers, 140mm PWM Processor cooler","2011,1150,1151,1155,1156,1366,775,FM1,FM2,AM3,AM2",Air
"PHANTEKS Glacier One 240 MP , D-RGB - black","1200, 1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM4, TR4, sTRX4",AIO
"PHANTEKS Glacier One 240 MPH , D-RGB - black","1700, 1200, 1150, 1151, 1155, 1156, 2011-V3, 2011, 2066, AM4, sTRX4, TR4",AIO
"PHANTEKS Glacier One 240 MPH , D-RGB - white","1200, 1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM4, TR4, sTRX4",AIO
"PHANTEKS Glacier One 240 T30 , D-RGB - black","1200, 1150, 1151, 1155, 1156, 1366, 2011-V3, 2066, AM4, sTRX4, TR4",AIO
"PHANTEKS Glacier One 280 MP , D-RGB - black","1200, 1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM4, TR4, sTRX4",AIO
