name,capacity,type,unit,form_factor
Intel 540s Series Solid State Drive,360,SSD,GB,m.2
Intel 540s Series Solid State Drive,120,SSD,GB,m.2
Intel 540s Series Solid State Drive,480,SSD,GB,m.2
Intel 540s Series Solid State Drive,180,SSD,GB,m.2
Intel 600P Series,128,SSD,GB,m.2
Intel 600P Series,256,SSD,GB,m.2
Intel 600P Series,512,SSD,GB,m.2
Intel 600P Series,1,SSD,TB,m.2
Intel 660P Series,1,SSD,TB,m.2
Intel 760p Series,256,SSD,GB,m.2
Intel 760p Series 1000 GB,1,SSD,TB,m.2
Intel 760p Series 128 GB,128,SSD,GB,m.2
Intel 760p Series 2000 GB,2,SSD,TB,m.2
Intel 760p Series 512 GB,512,SSD,GB,m.2
Intel DC S3500 Series,800,SSD,GB,2.5
Intel Optane 800P 118 GB,118,SSD,GB,m.2
Intel Optane 800P 58 GB,58,SSD,GB,m.2
Intel Optane 900P AIC Solid State Drive 480 GB,480,SSD,GB,m.2
Intel Optane 900P NVMe 280 GB,280,SSD,GB,2.5
Intel Optane 900P Series 2 280 GB,280,SSD,GB,m.2
Intel Optane 905P 380 GB,380,SSD,GB,m.2
Intel Optane Series,32,SSD,GB,m.2
Intel Optane Series 16 GB,16,SSD,GB,m.2
Intel Pro 6000P Series,1,SSD,TB,m.2
Intel Pro 6000P Series,128,SSD,GB,m.2
Intel Pro 6000P Series,256,SSD,GB,m.2
Intel Pro 6000P Series,512,SSD,GB,m.2
Intenso High Performance   III 120GB  TLC  3813430,120,SSD,GB,2.5
Intenso High Performance   III 240GB  TLC  3813440,240,SSD,GB,2.5
Intenso High Performance   III 480GB  TLC  3813450,480,SSD,GB,2.5
Intenso High Performance   III 960GB  TLC  3813460,960,SSD,GB,2.5
Intenso Top III  256GB  MLC,256,SSD,GB,2.5
Intenso Top III  512GB  MLC,512,SSD,GB,2.5
Kingston A1000 NVMe M.2 Solid State Drive,240,SSD,GB,m.2
Kingston A1000 NVMe M.2 Solid State Drive,480,SSD,GB,m.2
Kingston A400  - 960 GB 960 GB,960,SSD,GB,2.5
Kingston DC400  480GB,480,SSD,GB,2.5
Kingston DC400  960GB,960,SSD,GB,2.5
Kingston Now E50 240GB MLC,240,SSD,GB,2.5
Kingston Now KC400 128GB MLC,128,SSD,GB,2.5
Kingston Now KC400 256GB MLC,256,SSD,GB,2.5
Kingston Now KC400 256GB MLC,256,SSD,GB,2.5
