name,price
Corsair RGB 16GB,109.99
Corsair RGB 32GB,159.99
Corsair RGB 32GB,212.46
Corsair RGB 32GB,307.83
Corsair RGB 32GB,339.99
Corsair RGB 32GB,454.99
Corsair RGB 32GB,499.13
Corsair RGB 64GB,824.99
Corsair SO-Dimm Vengeance Series DDR4-3000,64.91
Corsair ValueSelect,19.99
Corsair ValueSelect,24.99
Corsair ValueSelect,35.99
Corsair ValueSelect,42.99
Corsair ValueSelect,171.99
Corsair ValueSelect DDR3-1333 CL9,22.99
Corsair ValueSelect DDR3-1333 CL9,23.99
Corsair ValueSelect DDR3-1333 CL9,26.5
Corsair ValueSelect DDR3-1333 CL9,71.99
Corsair ValueSelect Series DDR4-2133,18.99
Corsair Vengeance,103.99
Corsair Vengeance,126.99
Corsair Vengeance,139.99
Corsair Vengeance,146.99
Corsair Vengeance,189.99
Corsair Vengeance,204.99
Corsair Vengeance,219.99
Corsair Vengeance,223.99
Corsair Vengeance,239.99
Corsair Vengeance,243.99
Corsair Vengeance,259.99
Corsair Vengeance,259.99
Corsair Vengeance,273.99
Corsair Vengeance,599.99
Corsair Vengeance blue DDR3-1600 CL9,29.99
Corsair Vengeance blue DDR3-1600 CL9,49.99
Corsair Vengeance blue DDR3-2133 CL11,123.99
Corsair Vengeance DDR3-1600 CL10,39.99
Corsair Vengeance DDR3-1600 CL10,84.99
Corsair Vengeance DDR3-1600 CL9,39.99
Corsair Vengeance DDR3-1600 CL9,42.99
Corsair Vengeance DDR3-1600 CL9,59.99
Corsair Vengeance DDR3-1600 CL9,95.99
Corsair Vengeance DDR3-1600 CL9   Low Profile,49.99
Corsair Vengeance LED blue DDR4-3000  CL15,131.99
Corsair Vengeance LED blue DDR4-3000  CL15,187.74
Corsair Vengeance LED blue DDR4-3000  CL15,249.99
Corsair Vengeance LED blue DDR4-3200  CL16,339.47
Corsair Vengeance LED blue DDR4-3200  CL16,342.0
Corsair Vengeance LED blue DDR4-3200  CL16,632.53
Corsair Vengeance LED red DDR4-2666  CL16,141.99
Corsair Vengeance LED red DDR4-3000  CL15,187.99
Corsair Vengeance LED red DDR4-3000  CL15,289.99
Corsair Vengeance LED red DDR4-3000  CL15,291.75
Corsair Vengeance LED red DDR4-3200  CL16,116.63
Corsair Vengeance LED red DDR4-3200  CL16,876.53
Corsair Vengeance LED red DDR4-3200  CL16,2999.99
Corsair Vengeance LED red DDR4-3400  CL16,1336.8
Corsair Vengeance LED Series,114.83
Corsair Vengeance LED white DDR4-3000  CL15,109.95
Corsair Vengeance LED white DDR4-3000  CL15,117.1
Corsair Vengeance LED white DDR4-3000  CL15,117.1
Corsair Vengeance LED white DDR4-3200  CL16,945.99
Corsair Vengeance LED white DDR4-3466  CL16,114.21
Corsair Vengeance LP DDR3-1600 CL10,40.99
