name,price
AMD Ryzen 9 3900XT,469.99
AMD Ryzen 9 3950X,524.99
AMD Ryzen Threadripper 1900X,180.09
AMD Ryzen Threadripper 1920X,249.9
AMD Ryzen Threadripper 1950X,417.13
AMD Ryzen Threadripper 2920X,386.53
AMD Ryzen Threadripper 2950X,714.99
AMD Ryzen Threadripper 2970WX,999.99
AMD Ryzen Threadripper 2990WX,1699.99
AMD Ryzen Threadripper 3960X,1399.0
AMD Ryzen Threadripper 3970X,1993.99
AMD Ryzen Threadripper 3990X,3968.99
AMD Ryzen Threadripper 7960X,1398.0
AMD Ryzen Threadripper 7970X,2302.29
AMD Ryzen Threadripper 7980X,4182.52
AMD Ryzen Threadripper Pro 3955WX,1148.99
AMD Ryzen Threadripper Pro 3975WX,2499.99
AMD Ryzen Threadripper Pro 3995WX,5484.99
AMD Ryzen Threadripper Pro 5955WX,1073.12
AMD Ryzen Threadripper Pro 5965WX,2238.99
AMD Ryzen Threadripper Pro 5975WX,2599.99
AMD Ryzen Threadripper Pro 5995WX,5499.99
AMD Ryzen Threadripper Pro 7965WX,2549.0
AMD Ryzen Threadripper Pro 7975WX,3899.0
AMD Ryzen Threadripper Pro 7985WX,7349.0
AMD Ryzen Threadripper Pro 7995WX,9999.0
Intel Celeron G1840,49.99
Intel Celeron G6900,59.99
Intel Core i3-10100,111.7
Intel Core i3-10100F,77.99
Intel Core i3-10105,112.98
Intel Core i3-10300,171.99
Intel Core i3-10320,172.99
Intel Core i3-12100,138.87
Intel Core i3-12100F,106.92
Intel Core i3-13100,149.9
Intel Core i3-13100F,123.98
Intel Core i3-14100,119.97
Intel Core i3-14100F,90.48
Intel Core i3-4160,157.73
Intel Core i3-4330,121.88
Intel Core i3-6100,114.99
Intel Core i3-6100T,126.34
Intel Core i3-6300,137.57
Intel Core i3-6320,178.7
Intel Core i3-7100,129.99
Intel Core i3-7100T,135.99
Intel Core i3-7300,157.29
Intel Core i3-7300T,164.33
Intel Core i3-7320,154.66
Intel Core i3-7350K,174.99
Intel Core i3-8100,119.99
Intel Core i3-8300,147.0
Intel Core i3-8350K,179.99
Intel Core i3-9100,90.33
Intel Core i3-9100F,35.37
Intel Core i3-9300,168.99
Intel Core i3-9350KF,219.99
Intel Core i5-10400,141.73
Intel Core i5-10400F,116.49
Intel Core i5-10500,218.99
Intel Core i5-10600,219.98
Intel Core i5-10600K,203.97
Intel Core i5-10600KF,179.99
Intel Core i5-11400,147.95
Intel Core i5-11400F,134.99
Intel Core i5-11500,213.99
Intel Core i5-11600,245.98
Intel Core i5-11600K,208.99
Intel Core i5-11600KF,208.99
Intel Core i5-12400,189.99
Intel Core i5-12400F,165.98
Intel Core i5-12500,235.48
Intel Core i5-12600,258.2
Intel Core i5-12600K,250.49
Intel Core i5-12600KF,224.99
Intel Core i5-13400,239.99
Intel Core i5-13400F,209.93
Intel Core i5-13500,249.98
Intel Core i5-13600K,319.99
Intel Core i5-13600KF,296.94
Intel Core i5-14400,199.99
Intel Core i5-14400F,175.81
Intel Core i5-14500,239.99
Intel Core i5-14600K,229.99
Intel Core i5-14600KF,225.0
Intel Core i5-4460,193.78
Intel Core i5-4590,179.99
Intel Core i5-4690,219.29
Intel Core i5-6400,179.99
Intel Core i5-6500,189.44
Intel Core i5-6600,246.32
Intel Core i5-6600K,219.99
Intel Core i5-7400,182.0
Intel Core i5-7500,202.0
Intel Core i5-7600,229.99
Intel Core i5-7600K,242.99
Intel Core i5-7640X,199.99
Intel Core i5-8400,189.99
Intel Core i5-8500,209.95
Intel Core i5-8600,224.0
Intel Core i5-8600K,259.99
Intel Core i5-9400,167.65
Intel Core i5-9400F,142.99
Intel Core i5-9500,209.99
Intel Core i5-9600,249.99
Intel Core i5-9600K,247.0
Intel Core i5-9600KF,189.99
Intel Core i7-10700,256.99
Intel Core i7-10700F,271.99
Intel Core i7-10700K,269.99
Intel Core i7-10700KF,289.96
Intel Core i7-11700,272.49
Intel Core i7-11700K,269.0
Intel Core i7-11700KF,278.69
Intel Core i7-12700,325.8
Intel Core i7-12700F,299.99
