name,price
EVGA GeForce RTX 3080 FTW3 Ultra Gaming LHR,779.99
EVGA GeForce RTX 3080 Ti FTW3 Ultra Gaming,1419.99
EVGA GeForce RTX 3080 Ti XC3 Ultra Gaming,1149.99
EVGA GeForce RTX 3080 XC3 Black Gaming,799.99
EVGA GeForce RTX 3080 XC3 Gaming,819.99
EVGA GeForce RTX 3080 XC3 Ultra Gaming,769.99
EVGA GeForce RTX 3090 FTW3 Ultra Gaming,1249.99
EVGA GeForce RTX 3090 Ti FTW3,1399.99
EVGA GeForce RTX 3090 Ti FTW3 Black,1999.99
EVGA GeForce RTX 3090 Ti FTW3 Ultra,1999.99
EVGA GeForce RTX 3090 XC3 Ultra Gaming,1229.99
EVGA GTX 660 Superclocked,244.99
EVGA RTX 3070 FTW3 Ultra,679.99
EVGA RTX 3070 XC3 Black Gaming,599.99
EVGA RTX 3070 XC3 Ultra Gaming,639.99
Gigabyte Aorus GeForce GTX 1660 Ti 6G,309.99
Gigabyte Aorus GeForce RTX 2060 Super,341.99
Gigabyte Aorus GeForce RTX 2060 Xtreme 6G,399.99
Gigabyte Aorus GeForce RTX 2070 Super,465.99
Gigabyte Aorus GeForce RTX 2070 Super Gaming OC,446.99
Gigabyte Aorus GeForce RTX 2080 Super,769.99
Gigabyte Aorus GeForce RTX 2080 Super Waterforce,839.99
Gigabyte Aorus GeForce RTX 2080 Super Waterforce WB,759.99
Gigabyte Aorus GeForce RTX 2080 Ti 1,1398.21
Gigabyte Aorus GeForce RTX 2080 Ti Xtreme 1,999.99
Gigabyte Aorus GeForce RTX 2080 Ti Xtreme Waterforce 1,1006.99
Gigabyte Aorus GeForce RTX 2080 Ti Xtreme Waterforce WB 1,1349.99
Gigabyte Aorus GeForce RTX 3060 Elite 12G LHR,459.99
Gigabyte Aorus GeForce RTX 3070 Master 8G LHR,619.99
Gigabyte Aorus GeForce RTX 3080 Ti Master 12G LHR,1299.99
Gigabyte Aorus GeForce RTX 3080 Xtreme Waterforce WB 10G LHR,914.99
GIGABYTE Aorus GeForce RTX 4060 Ti Elite,439.99
GIGABYTE Aorus GeForce RTX 4070 Ti Master,939.99
GIGABYTE Aorus GeForce RTX 4080 Master,1349.99
Gigabyte Aorus Radeon RX 5700 XT,479.99
Gigabyte Aorus Radeon RX 6700 XT Elite,510.99
Gigabyte Aorus Radeon RX 6800 Master,1124.99
Gigabyte Aorus Radeon RX 6800 XT Master,1277.99
Gigabyte GeForce GT 1030,109.99
Gigabyte GeForce GT 1030 Low Profile D4,59.99
Gigabyte GeForce GT 1030 OC 2G,92.99
Gigabyte GeForce GT 1030 Silent,70.99
Gigabyte GeForce GTX 1050,119.99
Gigabyte GeForce GTX 1050 OC,129.99
Gigabyte GeForce GTX 1050 Ti,159.99
Gigabyte GeForce GTX 1050 Ti G1 Gaming,189.99
Gigabyte GeForce GTX 1050 Ti OC,169.99
Gigabyte GeForce GTX 1050 Ti WindForce 2X OC,189.99
